dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1881-09-01,24.505,0.848,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-10-01,25.367,0.866,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-11-01,26.118,1.231,Abidjan,Côte D'Ivoire,5.63N,3.23W
1881-12-01,26.311,1.253,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-01-01,26.757,1.233,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-02-01,27.574,0.95,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-03-01,27.998,1.058,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-04-01,26.718,0.887,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-05-01,26.081,0.859,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-06-01,24.394,1.099,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-07-01,24.01,0.886,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-08-01,23.59,0.909,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-09-01,24.263,0.803,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-10-01,25.264,1.036,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-11-01,25.836,1.031,Abidjan,Côte D'Ivoire,5.63N,3.23W
1882-12-01,25.761,1.665,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-01-01,26.031,1.304,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-02-01,26.628,1.341,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-03-01,27.628,1.009,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-04-01,27.757,1.785,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-05-01,26.063,0.819,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-06-01,25.406,0.79,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-07-01,25.268,2.059,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-08-01,25.043,2.99,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-09-01,25.391,2.848,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-10-01,25.717,1.145,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-11-01,26.579,2.567,Abidjan,Côte D'Ivoire,5.63N,3.23W
1883-12-01,26.065,1.252,Abidjan,Côte D'Ivoire,5.63N,3.23W
1884-01-01,26.224,1.264,Abidjan,Côte D'Ivoire,5.63N,3.23W
1884-02-01,27.801,1.788,Abidjan,Côte D'Ivoire,5.63N,3.23W
1884-03-01,28.158,3.032,Abidjan,Côte D'Ivoire,5.63N,3.23W
1884-04-01,27.339,1.846,Abidjan,Côte D'Ivoire,5.63N,3.23W
1884-05-01,26.373,2.01,Abidjan,Côte D'Ivoire,5.63N,3.23W
1884-06-01,25.924,2.84,Abidjan,Côte D'Ivoire,5.63N,3.23W
1884-07-01,24.826,2.258,Abidjan,Côte D'Ivoire,5.63N,3.23W
1884-08-01,24.288,1.809,Abidjan,Côte D'Ivoire,5.63N,3.23W
1885-11-01,25.78,1.069,Abidjan,Côte D'Ivoire,5.63N,3.23W
1885-12-01,26.357,1.226,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-01-01,26.07,1.175,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-02-01,26.912,1.051,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-03-01,28.423,2.916,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-04-01,26.167,1.905,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-05-01,25.781,0.813,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-06-01,25.751,2.849,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-07-01,24.209,1.02,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-08-01,23.849,1.124,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-09-01,23.935,1.012,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-10-01,24.687,0.742,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-11-01,25.403,0.793,Abidjan,Côte D'Ivoire,5.63N,3.23W
1886-12-01,24.503,0.892,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-01-01,25.302,1.573,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-02-01,26.149,0.859,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-03-01,26.471,1.401,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-04-01,26.086,0.847,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-05-01,25.296,1.447,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-06-01,23.929,0.823,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-07-01,23.235,0.668,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-08-01,22.528,0.836,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-09-01,24.302,1.776,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-10-01,24.828,1.189,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-11-01,25.286,0.645,Abidjan,Côte D'Ivoire,5.63N,3.23W
1887-12-01,25.529,0.778,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-01-01,25.134,1.845,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-02-01,26.14,1.766,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-03-01,26.983,1.332,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-04-01,26.605,1.105,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-05-01,25.537,1.105,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-06-01,24.592,1.082,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-07-01,22.682,1.059,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-08-01,22.486,1.219,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-09-01,23.577,1.006,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-10-01,24.41,1.032,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-11-01,25.711,1.121,Abidjan,Côte D'Ivoire,5.63N,3.23W
1888-12-01,25.497,0.944,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-01-01,24.959,1.343,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-02-01,26.799,1.323,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-03-01,27.75,0.945,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-04-01,27.395,1.639,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-05-01,25.527,0.984,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-06-01,24.518,0.631,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-07-01,23.51,1.24,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-08-01,22.819,1.25,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-09-01,22.915,1.123,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-10-01,24.195,1.253,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-11-01,25.635,0.901,Abidjan,Côte D'Ivoire,5.63N,3.23W
1889-12-01,25.439,1.099,Abidjan,Côte D'Ivoire,5.63N,3.23W
